GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
htmlcompressor-maven-plugin,com.tunyk.mvn.plugins.htmlcompressor,FileTool,0,376,0,24,0,66,0,28,0,16
htmlcompressor-maven-plugin,com.tunyk.mvn.plugins.htmlcompressor,HtmlCompressorMojo,152,1067,25,25,36,260,19,90,3,81
htmlcompressor-maven-plugin,com.tunyk.mvn.plugins.htmlcompressor,XmlCompressor,2,118,2,8,0,32,2,16,0,13
htmlcompressor-maven-plugin,com.tunyk.mvn.plugins.htmlcompressor,HtmlCompressor,2,184,2,12,0,52,2,25,0,20
htmlcompressor-maven-plugin,com.tunyk.mvn.plugins.htmlcompressor,XmlCompressorMojo,7,159,1,7,2,52,1,21,0,18
htmlcompressor-maven-plugin,com.github.hazendaz.maven.htmlcompressor_maven_plugin,HelpMojo,92,681,36,76,15,141,29,43,0,16
